image_path,room_type,style
../data/raw\bathroom\boho\bathroom_boho_0.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_1.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_10.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_100.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_101.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_102.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_103.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_104.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_105.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_106.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_107.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_108.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_109.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_11.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_110.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_111.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_112.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_113.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_114.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_115.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_116.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_117.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_118.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_119.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_12.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_120.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_121.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_13.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_14.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_15.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_16.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_17.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_18.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_19.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_2.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_20.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_21.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_22.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_23.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_24.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_25.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_26.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_27.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_28.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_29.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_3.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_30.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_31.jpg,bathroom,boho
../data/raw\bathroom\boho\bathroom_boho_32.jpg,bathroom,boho
